0,1,2,3,4,5,6,7
5.5100884,-0.9168289,6.5670285,3.3832963,1.4164814,3.639297,1.0671527,-5.858891
11.252788,4.9600987,1.7485158,-0.70081997,11.025594,4.856797,-1.2809639,1.5435272
11.683935,5.1982474,2.47676,-0.16977671,6.6609178,7.732085,0.15492158,2.0839918
8.341679,5.3957763,0.9121233,0.55261934,8.481301,8.443603,-1.8891063,1.0455902
7.749796,5.087351,0.2447435,2.6030734,10.951283,7.2285013,-1.8103566,4.1763897
7.944097,-5.5037885,0.3085191,-1.5827935,3.541026,-2.9540544,-0.4300708,-0.01780337
5.6623464,-3.686659,-1.9955136,-1.9052442,8.74166,-2.712578,-1.4182655,-0.040579364
6.7464304,-4.0371137,0.016813634,-0.1354468,6.2794023,-2.1839116,-0.096078314,-2.7046268
5.481356,-7.290111,-0.8903644,0.6085456,5.7188845,-1.1559075,-0.41334406,-0.44302446
0.40979582,0.07498477,9.80627,-0.3446019,-0.97262233,-0.5510979,-0.13012706,1.2526655
0.03475929,3.4390619,-1.8339955,-4.619493,2.846635,4.867593,12.694747,4.2853074
2.64958,2.7371862,-2.1431527,-3.7951658,4.3977985,2.5255578,11.561826,7.72628
0.35668203,6.2920156,7.0408087,-0.8968663,-2.4838436,8.780721,6.762946,-0.3629229
-1.528269,2.2780206,2.299989,-8.454744,5.7306767,5.912323,13.808384,-1.3658595
-8.324335,-3.811618,-1.6653606,2.7550554,-7.028458,-12.252572,-9.514602,-0.58503044
9.31905,-0.7731455,2.3954709,1.7056639,1.5543664,1.5513954,0.7604495,-4.0468106
-4.4661474,1.1222842,-2.7664206,-7.1541,1.9293499,-6.4225082,7.994966,-1.694474
9.397413,5.6387706,0.70995754,-1.9224484,12.165666,6.4987016,7.4777803,5.2190657
2.2087228,-3.3528852,-0.6596057,4.192423,-7.9160743,-3.0443223,-12.234298,0.011059076
0.13394721,-1.9476451,-0.3587097,-1.221305,-3.753836,-0.47197104,12.5322,-6.703049
4.887642,0.6029354,-2.88088,-3.946724,-2.6820118,5.0793757,5.345095,-4.736854
1.3369855,2.927426,-0.67208934,1.2237805,-2.7259579,11.957917,-6.036213,0.8717096
8.930587,10.060067,2.600863,-1.3928068,8.659032,10.375766,13.42455,6.0914
2.2271352,-0.89786154,8.077522,-0.1829303,-3.6837826,3.2069652,-0.09781582,5.8267555
-1.1840461,4.425471,0.23104404,-5.987002,5.526537,8.565164,3.5237525,4.180732
2.7199852,3.4761438,-0.80123156,-2.4549701,9.176865,-1.9972646,11.51926,0.9373144
3.9778724,-5.1724753,4.1022205,1.8266469,3.077367,3.3593984,0.45391104,-4.53747
1.6871657,2.706514,5.9823627,-0.8621164,0.16208297,7.822694,8.853227,-4.7880397
0.48481387,2.5057464,8.138394,-1.1062012,-0.3402995,9.080147,8.707075,-1.4969012
2.9556797,1.9821069,3.816271,-2.8224294,1.6449063,3.1023295,12.039002,3.270043
6.2582793,7.8959002,1.0505226,-5.361353,4.1721864,-0.686598,13.485892,-0.4190485
2.8823795,-0.98125833,-1.4819502,-8.7799,-2.5271387,5.4853196,3.542167,5.7466564
-3.5677292,2.3612585,-0.21039692,-9.722422,-0.881733,-2.6120508,12.044698,-1.6329658
8.093315,5.2003255,8.182446,-2.5343854,1.5164906,3.4037874,8.834576,1.8331478
0.65565807,-0.60184634,-2.8811843,6.047653,-3.108843,-5.4335003,10.94941,-0.9338665
-6.482655,3.2133887,0.0988223,3.7663095,-3.128921,0.054923214,-11.120243,-0.85836697
-2.0936527,4.911554,-4.9664674,-3.550534,-2.867708,1.2631992,10.45281,-1.4231857
-1.2639422,1.6944678,-6.8038316,-1.7242055,-2.0964727,2.3156557,10.785309,-3.014113
-3.698453,2.2016413,-4.8628063,-3.1792953,-4.0351486,2.2477734,9.221647,-4.4916162
0.105304144,-6.529623,3.0505567,1.4821216,1.0565922,-3.1384265,-7.1355324,-5.883679
1.4781052,-6.782958,5.711987,-3.2273128,2.8954537,-0.082721695,-10.972237,-1.9567931
0.7571057,-3.929093,6.918709,0.4772892,1.6140059,-0.048458632,-11.509365,-2.6087222
7.352166,4.9898763,-3.814569,1.191629,1.1974479,3.6475923,-0.3009381,2.7159886
1.2874174,8.550258,-0.0665956,-10.754344,-0.25699908,1.1847883,4.297768,4.211355
