0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.038150173,-0.015079474,-0.5645332,-3.1032348,0.5404367,0.9237349,2.1689034,-2.2263014,3.2441368,-1.049749,-0.45357826,0.22561674,-0.34470254,0.007934677,0.9093618,0.6970942,0.59240305,-0.951159,-1.9890298,0.26992837
0.16260946,3.0283432,-1.1044061,5.7975054,-0.21379028,1.1051496,0.8227115,0.0994876,1.0127571,0.12931319,1.0762109,-5.907563,0.13013585,-0.010520286,2.3324971,-0.071643986,-2.013033,-0.47518992,-1.7533331,0.9671092
-0.4107588,0.53282833,-1.061307,-4.1112823,-4.51727,-0.7052996,0.3634239,0.39447722,2.243608,2.678339,1.8026185,-3.606622,0.4058974,-0.021890657,4.042067,-0.053274684,1.7221317,-0.17510417,4.0276875,0.37271863
0.4554001,1.1327467,-0.78562033,0.734562,-2.746178,0.87303025,0.08985613,-0.311863,1.4994531,0.5827248,3.5639186,-1.4018239,-1.4686159,-0.04281767,-1.4653819,-0.18275806,2.7888243,-0.19562845,3.1727989,1.05621
0.17050123,3.0475934,-1.0206668,-0.33011398,-8.156169,1.8537235,1.4714478,1.1324916,3.122412,1.7761989,3.248648,-2.9345243,1.3309717,-0.04212658,3.9757009,-1.818346,2.3711627,-0.70258874,2.5842173,1.8358192
-0.046233486,-0.05114258,1.6004596,-3.4298866,1.8001673,4.2194157,2.244547,-0.46794802,1.9324678,1.512819,1.4353619,1.779383,-0.88473064,-0.026107676,-0.38634428,-0.14935608,2.4433713,-1.0332006,-1.6037698,0.35003015
0.56554997,0.6961159,-1.8804295,0.17195654,-0.6325149,3.4636393,2.0591958,0.11281474,7.026149,4.1365843,4.129339,-4.425906,0.813684,-0.054215625,1.2632782,-0.42048204,10.675879,-1.231321,1.3697698,2.696762
0.17433056,0.10365212,-1.2153305,0.16010718,3.3282475,4.992766,2.8268273,0.10981305,2.1795888,1.6772834,8.000591,-2.6317952,0.016874468,-0.09628488,0.8136897,0.19078988,7.232314,-1.4404066,0.18569525,3.313926
-0.46754152,1.3873246,-3.1096528,-0.13128734,-2.082922,6.227969,3.7848134,0.8264762,4.276587,-0.38223332,7.56593,-5.634055,1.1847317,-0.09282619,2.3494499,-0.63984936,3.0706356,-2.0159593,2.966571,4.316097
0.09009864,0.10577633,-3.8809538,0.15099987,-3.4936929,2.365396,1.4920264,3.81515,2.7825809,1.7706182,3.234954,-6.0983825,2.439345,-0.039511837,6.9302144,-0.5334295,2.2103562,-0.89472103,7.0908113,1.958779
0.045088466,1.0903223,-2.4206228,-1.9987594,-2.5987883,3.9385164,2.5915618,1.1486832,2.1697638,2.7663293,7.562476,-1.070581,1.2796632,-0.09720308,1.8818946,-0.7098764,1.0844058,-0.825361,4.345471,3.3816226
0.7194712,1.927747,-4.1544933,-0.33403504,-6.0280466,3.716696,2.4548817,2.5202048,6.035909,3.3253386,5.558371,-7.917974,2.97208,-0.06904537,2.9683564,-1.6536814,3.7778676,-1.3156348,4.2913365,3.313455
1.7695814,1.1456918,-0.7335172,1.8822296,-0.71774423,-1.5130633,0.58554286,0.3261784,5.0099487,-0.10519492,4.3750854,0.6321698,0.14117643,-0.031626794,0.09964251,-0.40016726,-0.18310128,-0.66085565,0.77546805,2.1368074
0.15004024,-2.6410003,1.6196343,-0.18566498,-3.6694503,0.20187372,-1.0291398,1.0362812,0.7104596,-1.4536601,0.99317735,-1.8728923,0.6958874,-0.012180871,0.7064221,-0.3690767,1.1431524,-0.017773096,6.6274743,0.5425284
0.5791428,1.039083,-4.4764314,-0.3674987,-3.262032,2.4668748,1.7243158,1.3584608,6.6359215,3.030841,3.857044,-8.762807,1.7180204,-0.049669813,3.6663392,-0.92370796,1.1654114,-0.9983523,2.2580957,2.5012722
0.9365865,3.9530835,-4.744714,-0.32408574,-2.5139713,3.5462148,2.3143003,0.8694017,5.212331,3.3698797,5.2408757,-9.275636,1.597282,-0.06532115,3.538907,-0.49910447,4.7174606,-1.1125256,2.7594953,2.8055265
0.8126811,2.3119147,-4.3631325,-0.44616884,-0.11958104,5.351819,3.5373828,1.2318254,4.222559,3.4572048,7.8992143,-8.752949,1.4594191,-0.09876759,3.1813803,-0.9742097,4.269783,-1.9478813,2.766696,5.0228825
0.00038144283,0.2825263,-2.0093155,-0.6715581,-1.5169574,7.86546,4.386755,0.527319,4.352523,3.40826,8.192402,-3.7690728,0.636708,-0.10536038,1.6489773,-0.357463,1.219066,-3.3939662,1.9187762,5.3766446
0.1724355,0.8358512,-1.4200528,2.7490075,-0.61588126,2.4608345,1.0517178,0.086861245,2.973385,8.669811,2.6086137,-2.370459,0.5531649,-0.03236012,1.0632089,-0.345363,2.9602354,-0.44686702,-4.71503,1.3453543
0.13537756,0.78282833,-0.8872659,1.0126866,-0.48084623,5.932425,4.044748,-0.4416838,5.2204294,2.3666131,8.655126,-1.98032,-0.0043085264,-0.034189574,0.19262022,-0.1131022,-1.084847,-2.2226717,-0.32213277,6.0595846
0.73709595,3.995644,-2.2342336,2.4744785,-4.4611344,1.95293,0.9427882,1.3010556,2.679355,1.5867087,0.995074,-6.0429115,3.5533278,-0.009287861,1.703732,-1.2794499,4.1236477,-0.7081606,2.6328835,0.7637792
0.18356255,1.0249139,-0.75560445,-4.980732,-0.94376886,3.7648795,0.53985363,2.7033827,0.57108486,0.36828607,1.2263044,-4.4097757,0.254246,-0.015028148,2.6025255,0.17128608,0.099180065,-0.020748137,2.1431208,0.6272975
4.7361946,0.84794825,-2.3107593,0.22552885,-1.2431734,2.8823602,1.6550902,0.5533524,5.118679,2.2570467,4.869813,-6.063092,0.6754707,-0.049369846,1.4356135,-0.33441427,6.2228475,-1.0670379,0.51194346,2.8010404
0.9986744,0.9346156,-0.8460229,0.13563177,-1.3025048,2.5119379,1.0841231,0.54825157,3.6284566,2.0908418,3.5651116,-10.813788,0.7858788,-0.044163052,2.091949,-0.40721363,3.872405,-0.8685382,1.3264072,2.127703
2.0934024,0.70767725,-2.538609,0.1955982,-1.2443312,3.2351549,2.1808033,0.4631256,7.667693,3.6818447,2.9523287,-5.975571,0.40065688,-0.06600336,1.1176792,-0.12748998,4.6423225,-0.40524948,-0.018755635,1.4753685
0.85759497,0.8308917,-6.8655953,-0.34514382,-1.2343346,2.2458484,2.0608203,-0.8902143,3.7535346,2.6984072,4.036026,-5.6388607,0.65974575,-0.05433708,1.8106294,-0.35834515,2.097047,-1.092007,1.2695445,2.8603563
-1.6792996,0.7653902,-2.367392,0.511441,-0.7585168,2.827179,2.0324695,-0.54273695,4.236729,4.3172307,4.24622,-7.3399234,0.5201991,-0.056081127,1.502239,-0.19106162,2.7778795,-0.9669137,-0.14636642,2.6686614
1.0507439,0.7998172,-4.8232555,0.13711314,-1.0971012,2.2001715,1.9334657,0.6612502,4.3660235,2.3572986,4.283398,-8.695185,0.72139204,-0.044026982,0.29107952,-0.37979567,4.5961843,-0.5686927,1.028194,2.1807911
1.3706548,0.92269725,-4.85993,-0.017659642,-1.2901403,1.2063854,1.1604198,0.49447536,2.7902005,1.9381084,3.7267585,-12.410809,0.8158616,-0.038709585,2.0333376,-0.4211424,3.4329069,-0.3025009,1.4803134,1.8409353
-0.8788796,-2.7934551,0.4387638,-0.69918585,0.5943274,-0.3549172,1.1104615,-1.1172333,0.111560404,0.3227278,0.71636134,-1.653758,-1.5640081,-0.015934234,1.1766728,-0.0055740094,2.9845223,1.65216,-0.24343157,-0.27150655
