0,1,2,3,4,5,6,7,8,9,10,11
-5.662576,-1.007574,1.8881308,5.6995306,-0.69497746,2.8987787,-7.4369392,0.103240184,-1.0188222,-0.47174004,3.8512425,-0.12682214
-4.8864536,2.6344466,3.5821495,2.3388772,-3.5242648,7.125251,-2.3321254,-1.1061213,0.17147312,0.12696794,1.1503482,-4.9806504
-2.4418883,0.5588017,2.8783364,1.4788688,-6.571079,8.597321,-0.21143447,1.2344396,0.047168672,-0.3030217,3.129562,-4.0432158
-4.859676,0.60534024,0.119662285,3.210386,-1.6506863,2.0002732,-3.2931607,4.3924193,-0.18202262,2.6665864,-1.9657255,-1.4639035
-0.6374928,-3.1779296,-2.7640505,-1.8012232,2.186465,-1.0245446,-4.245915,1.3700063,1.1075809,1.0436323,2.4341035,2.4543157
2.093348,-2.791394,-5.092345,-15.234224,0.63278294,-0.9214407,1.8542836,-0.4793414,0.035340223,0.2945863,-1.4477353,2.147926
1.3288888,-2.5119996,-6.5390663,-13.263926,0.9293503,-1.7112696,1.3391783,-1.0988739,-0.08926653,0.20123242,-3.0757878,5.7184434
-6.9443917,-3.5887377,2.834914,-0.3791346,-0.5633707,1.7684484,0.91935545,-0.90782523,-0.359439,-0.37581065,1.7190163,2.035064
-3.227928,2.6289473,4.664114,-0.13090841,-1.3232884,1.8363875,-9.53634,0.22917031,-0.17688155,0.07545802,5.151632,-1.3490379
-2.0439866,5.660027,2.14773,3.2199237,-6.5639544,4.3547854,-2.405334,-0.86137336,-0.05187995,-0.5093309,0.13868393,-7.1315885
-0.08394417,-0.9285507,-3.6445596,-4.794281,-3.330325,0.5324448,-1.4898738,-0.9413671,0.43880036,0.35920063,-7.8770146,1.3080742
-9.230083,4.2315283,2.7092054,9.514606,-3.0607908,2.315514,-2.0652695,4.2381644,-0.0020724111,-0.43605015,2.3076525,-2.5023015
-7.809235,6.340561,8.874681,13.476192,-1.4270488,4.390434,-4.019588,1.693229,0.020244045,-0.96398145,6.733698,-6.209065
-7.466292,3.7922137,2.2252629,12.578003,-5.9078035,2.2163725,-3.007643,0.8471886,0.23972434,0.14652997,2.8013456,-3.9021075
-8.061546,4.5213127,1.8441305,8.163585,-4.9571657,3.1596785,-4.8110023,1.3505753,1.2048621,-1.1230545,4.816505,-2.933712
-7.827868,4.49723,3.141573,9.663595,-5.767355,3.1957116,-1.4573873,1.4243115,0.11506522,-2.5476034,3.0704687,0.19325057
-10.912463,4.109768,2.211922,9.936548,-2.9429555,4.2815156,-2.7024927,-0.32406786,-0.1237269,-0.39801025,3.078566,-1.0795053
-6.032551,6.18128,0.7893898,-3.2416332,-6.3934817,4.1666155,1.8782967,0.68381387,-0.16451196,-0.05945436,-0.69638145,-4.9918847
-3.2396991,-0.8889428,-1.173829,2.114518,2.5394099,1.9061747,4.8521776,0.14950046,-0.26737657,0.89338225,1.9824356,-0.3714772
-4.694483,0.87369245,-1.2052912,-1.8016415,4.0267177,2.038502,-0.47813892,3.532393,-0.07464387,-0.6572412,-1.1206887,1.1179125
